order_id,customer_id,product_id,order_date,quantity,total_amount
1,763,40,2024-05-24,1,649.9
2,860,129,2024-04-26,4,6434.32
3,109,25,2024-09-02,1,4954.19
4,457,85,2024-10-24,2,5640.9
5,860,44,2024-07-25,1,3184.36
6,477,106,2024-12-19,1,1761.56
7,744,91,2024-02-05,2,8541.74
8,620,98,2024-04-30,3,3555.9
9,104,91,2024-06-09,1,4270.87
10,100,170,2024-11-21,4,5701.36
11,415,160,2024-05-25,2,988.4
12,757,41,2024-05-06,1,1047.34
13,938,9,2024-06-30,1,4992.78
14,759,178,2024-03-24,3,14390.43
15,394,165,2024-11-09,4,17859.0
16,887,82,2024-01-09,4,9341.96
17,821,95,2024-05-21,1,4637.53
18,300,130,2024-11-05,2,9465.22
19,850,187,2024-01-09,1,3533.1
20,947,30,2024-12-20,3,12461.49
21,401,85,2024-06-22,2,5640.9
22,65,137,2024-03-06,4,5403.2
23,795,120,2024-09-19,4,14678.08
24,136,37,2024-08-06,3,13957.26
25,439,94,2024-09-24,4,7794.48
26,851,188,2024-09-07,2,8449.8
27,955,109,2024-06-18,1,3860.58
28,332,16,2024-09-09,1,3768.17
29,314,14,2024-07-23,2,2129.16
30,699,154,2024-04-03,3,660.87
31,973,51,2024-09-10,2,3213.82
32,270,140,2024-03-31,4,16031.52
33,969,47,2024-11-14,2,9893.06
34,233,131,2024-10-02,3,4624.47
35,787,162,2024-09-20,4,16757.88
36,146,91,2024-07-07,2,8541.74
37,171,170,2024-07-28,3,4276.02
38,301,2,2024-03-20,1,4297.18
39,227,155,2024-11-22,1,2002.83
40,716,84,2024-12-19,2,4402.34
41,856,156,2024-10-17,4,2244.8
42,839,100,2024-02-10,1,2213.16
43,207,151,2024-09-14,3,1912.35
44,559,109,2024-03-19,1,3860.58
45,567,85,2024-06-01,3,8461.35
46,691,165,2024-04-09,3,13394.25
47,44,153,2024-03-04,2,4380.62
48,578,31,2024-01-30,3,10362.12
49,975,141,2024-08-25,3,12178.32
50,358,53,2024-11-16,4,1238.16
51,263,57,2024-03-12,1,3227.98
52,122,69,2024-10-30,2,8088.36
53,176,194,2024-03-07,2,7642.62
54,173,70,2024-02-12,2,852.64
55,778,173,2024-03-25,1,3546.69
56,516,86,2024-12-16,3,6428.94
57,394,114,2024-09-16,2,1341.34
58,124,153,2024-03-20,2,4380.62
59,757,137,2024-03-24,3,4052.4
60,508,123,2024-03-18,3,12790.44
61,35,113,2024-08-20,1,4508.29
62,479,123,2024-01-29,1,4263.48
63,514,159,2024-05-30,4,16441.08
64,295,33,2024-05-09,3,5931.09
65,207,86,2024-08-26,3,6428.94
66,977,196,2024-07-12,3,2816.22
67,863,186,2024-12-04,1,4872.08
